chrUextra	27983056	27983303
chrUextra	26748262	26748362
chr2R	8061285	8061355
chrX	1837453	1837519
chrX	8087107	8087175
chrUextra	28281710	28281795
chrUextra	2786300	2786499
chr3R	6062237	6062353
chr3L	18056325	18056579
chr3L	10849947	10850015
chr3L	377925	378389
chr2L	7856537	7856623
chr3L	19784560	19784690
chr2R	8567161	8567300
chrX	8764167	8764328
chrUextra	1484611	1484706
chr3L	441683	441779
chrUextra	12667902	12668160
chr3R	16079122	16079202
chr2R	4520037	4520270
chr3R	5456542	5456773
chr2L	9446573	9446640
chrUextra	18286406	18286500
chrUextra	17373770	17373883
chr2RHet	2094079	2094168
chrX	6755686	6755768
chr2L	17450487	17450563
chrUextra	13615379	13615806
chrX	7596737	7596831
chr2L	1938225	1938362
chrUextra	5755375	5755473
chr3R	25040758	25040912
chr3R	278214	278302
chr2R	8883723	8884169
chr2L	5108314	5108476
chrU	8061295	8061363
chrUextra	28342764	28342944
chr3R	8104763	8105008
chrX	19781260	19781385
chrU	947604	947698
chr2L	16485776	16485908
chrUextra	27519337	27519486
chr2R	4647250	4647349
chr2R	6011604	6011777
chr3R	19121136	19121274
chr3L	3417281	3417372
chrUextra	8511104	8511336
chrX	16111668	16111816
chrUextra	28220137	28220252
chr2L	16269454	16269543
chr3L	6328305	6328477
chrUextra	13702300	13702366
chrUextra	14387524	14387610
chr2L	13642012	13642083
chr2L	19571949	19572151
chrUextra	3860403	3860482
chrX	5487948	5488204
chr2L	18795941	18796331
chr3R	10208214	10208318
chrUextra	6918982	6919356
chrUextra	4643312	4643381
chr3L	10850057	10850134
chr4	577915	578025
chr4	1297129	1297622
chrUextra	25862485	25862816
chr2R	7415682	7415993
chr3L	9685749	9685950
chrX	12629227	12629526
chr3R	6038681	6038887
chrUextra	21415709	21415819
chrX	19760382	19760460
chr3L	17480225	17480368
chrUextra	28184912	28185009
chr2R	17384948	17385118
chr3R	14024556	14024683
chrU	7316200	7316312
chr2L	17428156	17428298
chrU	6732506	6732620
chrUextra	6950171	6950339
chr3LHet	571555	571663
chr3L	2934776	2934971
chr3L	20942648	20942840
chrUextra	18843450	18843848
chr3R	12695103	12695367
chr2L	19414088	19414154
chr3R	12882510	12882596
chrU	7934383	7934459
chr2L	20865065	20865212
chr3R	14738653	14738738
chr3LHet	855032	855246
chr3L	16004548	16004663
chrUextra	19621167	19621272
chrUextra	3418896	3418970
chr2L	3835310	3835483
chr2R	9845046	9845200
chr2L	16791433	16791565
chrUextra	1220379	1220547
chr2R	18933699	18933819
chr2L	3771613	3771690
chr2R	2123588	2123736
chr2L	1651156	1651225
chr2R	18100546	18100619
chrU	7543940	7544058
chrU	5426055	5426189
chr3L	17610047	17610170
chrU	9319306	9319408
chr2L	12483095	12483234
chr3R	14742784	14742861
chr2L	16544025	16544138
chr2R	10345502	10345903
chr4	1310240	1310396
chrUextra	9846959	9847043
chr3R	12249106	12249247
chr2R	11991811	11991877
chrUextra	7039491	7039695
chr3R	11679240	11679309
chr3L	19888763	19888963
chr2L	12655830	12656077
chr3RHet	1397838	1397915
chr3L	10730204	10730366
chr3L	21009447	21009564
chr2R	21003041	21003291
chr3R	4007196	4007480
chr4	1334426	1334531
chr2L	6673284	6673409
chr2R	14693651	14693798
chr3R	24460229	24460307
chr2R	17967887	17968014
chrUextra	26941549	26941827
chr2R	18434318	18434413
chr3R	1108676	1108809
chr3R	22047193	22047268
chr2R	15519426	15519578
chr2L	19398904	19399160
chr3R	10394482	10394637
chr3L	6919067	6919188
chr3R	12047311	12047398
chrUextra	9767875	9768002
chrU	7544773	7545096
chr3R	4859829	4859932
chrU	6700198	6700379
chr3R	13542843	13543109
chrUextra	15475357	15475511
chr3L	3543618	3543712
chrUextra	19770506	19770709
chr3L	544205	544394
chrUextra	912599	912666
chr3R	13429481	13429640
chr3R	5262400	5262523
chrUextra	23982727	23982807
chrU	9043860	9043974
chrUextra	2804475	2804546
chrUextra	28536122	28536273
chrX	5895252	5895394
chr3R	6447971	6448222
chr3L	19117363	19117435
chr3R	12075834	12076050
chr3L	409474	409562
chr3L	3765802	3765880
chr2R	3949020	3949088
chrUextra	380819	380885
chr3R	9924434	9924599
chr3R	26734902	26735064
chr3L	13997268	13997375
chrUextra	9930048	9930154
chr3R	16974346	16974499
chr3R	11877146	11877231
chrX	7986235	7986311
chr3L	16019453	16019559
chrU	9430555	9430627
chr2R	13149247	13149542
chrX	711681	711775
chr2R	6480007	6480258
chrX	21423692	21423814
chr3R	10112178	10112378
chrYHet	72628	72995
chr2R	18185314	18185453
chrU	6248457	6248570
chrUextra	24194222	24194297
chrX	7839158	7839224
chr2R	10972722	10972789
chr2L	16325892	16326005
chr2L	3825465	3825625
chr2R	8791878	8792168
chrUextra	21041638	21041829
chr3L	8443251	8443412
chr2L	3478319	3478465
chrX	580417	580532
chr3L	14267186	14267434
chr2R	7554231	7554345
chr3L	8991184	8991275
chrUextra	1501764	1501896
chr3R	736739	736832
chrUextra	15250549	15250685
chrUextra	1298082	1298257
chrU	276470	276542
chrUextra	5579735	5579918
chr3R	27551240	27551487
chrUextra	28981914	28981989
chr3L	6393447	6393588
chr2L	4811707	4811942
chrUextra	28524556	28524653
chrUextra	19326315	19326383
chr3L	20613976	20614116
chr3R	25032473	25032700
chrUextra	589561	589664
chr3R	6442983	6443073
chr2L	20209252	20209318
chrUextra	22784460	22784604
chrU	9759267	9759447
chrX	20561648	20561773
chr3R	27900222	27900300
chr2L	20794114	20794183
chr3R	14273264	14273349
chrUextra	4012205	4012274
chr2R	16885557	16885726
chr3R	26886543	26886673
chr3L	22815695	22815799
chrUextra	14301994	14302072
chr3R	9470662	9470791
chrUextra	21882970	21883223
chr2R	13680130	13680227
chr2R	3610589	3610671
chr2R	5837037	5837130
chr2R	20262355	20262464
chrUextra	439319	439788
chr3R	11112452	11112678
chrU	9151214	9151393
chrUextra	26370746	26370825
chr2L	1972712	1973006
chr2R	19546627	19546775
chr2R	9813576	9813727
chrUextra	7309016	7309102
chr3R	3136463	3136577
chr2R	3346310	3346466
chr3R	237245	237468
chr3R	7476411	7476496
chrUextra	28149141	28149215
chr2L	1633016	1633108
chrX	14937718	14937797
chr2L	6787729	6787878
chr2L	3056490	3056644
chrUextra	2320903	2320988
chr3R	14411293	14411418
chr2R	10903217	10903304
chrX	3345458	3345576
chrUextra	22057323	22057567
chr2L	18152445	18152541
chrUextra	8443701	8443876
chr2L	1805945	1806057
chr3R	14973300	14973390
chr3R	14749031	14749227
chrUextra	17026096	17026207
chrX	8651884	8652067
chr3R	9700818	9701106
chrU	1941827	1941987
chrU	9552656	9552751
chrX	7951978	7952052
chr3RHet	2308285	2308494
chr3L	545948	546041
chrUextra	6052832	6052938
chrUextra	26595729	26595802
chr3L	12427584	12427863
chr2L	20874684	20874811
chrUextra	11344666	11344926
chr2R	14301136	14301233
chrUextra	6964114	6964247
chr3L	9086028	9086203
chrX	18726518	18726631
chr3R	15394589	15394949
chrX	14051840	14051925
chrUextra	7344680	7344765
chrU	7458012	7458417
chrUextra	20695640	20695815
chr2L	13512817	13512903
chr3R	13915237	13915426
chrUextra	17221581	17221678
chr3R	5700281	5700380
chr2L	6667894	6667987
chr3R	20875754	20875963
chr3L	14753194	14753324
chr2R	11991940	11992044
chr2L	12617904	12618341
chr2L	5093296	5093384
chrX	19537279	19537379
chrUextra	3516297	3516380
chr3R	18280358	18280507
chrX	19531567	19531652
chr3R	17458839	17458937
chr2R	5845650	5845732
chr3L	18794481	18794624
chrUextra	15572791	15572898
chrX	5284000	5284140
chrUextra	13326619	13326690
chrX	15308383	15308449
chr2R	2515790	2515910
chr3L	17526089	17526204
chrUextra	18260267	18260350
chr3R	2718863	2719109
chrUextra	28357972	28358056
chr3L	13482322	13482416
chr2R	8771916	8772119
chrUextra	11908708	11908809
chr3R	14070238	14070452
chrX	16043114	16043336
chr3R	12944854	12944951
chr2R	16505608	16505765
chrUextra	28213738	28214157
chr2L	16601506	16601693
chr3L	15228538	15228768
chr2R	11229688	11229878
chrUextra	12250638	12250738
chr3L	11480743	11480875
chrX	2019681	2019877
chr2R	11236979	11237255
chr2L	11445705	11445862
chr3R	14273878	14274114
chr2R	5329105	5329176
chr3R	22287141	22287260
chr2L	19575207	19575500
chr3R	6652631	6652742
chrUextra	17527479	17527577
chrUextra	27511592	27511766
chrU	7730095	7730279
chrX	13305547	13305651
chr2R	10687123	10687212
chrX	8603530	8603596
chr3L	19074621	19074697
chrX	5907253	5907412
chrU	445320	445431
chr3L	246908	247040
chr3R	11302181	11302303
chr3R	7784084	7784214
chrX	18669024	18669146
chrUextra	17009365	17009435
chr3L	8075020	8075152
chr3L	21007637	21007726
chrX	21222481	21222577
chr2R	2129683	2129758
chrUextra	21834808	21834971
chr3R	26598648	26598783
chr2L	8084433	8084566
chr2R	7503557	7503716
chr3L	10239420	10239610
chr3R	11810461	11810580
chr2R	12158012	12158082
chr3L	17414591	17414728
chr2L	490684	490882
chr3R	6442417	6442753
chrU	7638371	7638441
chr2L	160865	161074
chr3R	20105230	20105296
chrX	9579069	9579201
chr3L	616712	617151
chrX	7590787	7590905
chr3L	19676112	19676263
chr3L	1586465	1586739
chrUextra	24282181	24282258
chr3L	15504022	15504129
chr2R	13323874	13324057
chr2L	19426557	19426653
chr3R	24705805	24705885
chr2R	11008150	11008422
chrUextra	1926803	1926998
chr2L	11516727	11516829
chr3L	3433210	3433278
chr2L	6324411	6324568
chr2R	17368330	17368402
chr3R	21943268	21943454
chr2L	3836588	3836782
chr3R	10564936	10565117
chrUextra	9944810	9944890
chr2L	2778932	2779028
chrX	9692763	9692846
chr2R	20257300	20257507
chr3L	17563166	17563513
chr3R	10114880	10114959
chr2R	20230119	20230269
chrX	8304571	8304677
chr2L	21237723	21237869
chrUextra	15007066	15007161
chr3R	10337216	10337338
chr2R	12466287	12466411
chr3R	14300087	14300301
chrX	2031087	2031212
chr2R	6985985	6986080
chr3L	22903407	22903547
chr2R	17533522	17533689
chrX	17604952	17605038
chr4	1118363	1118461
chr3R	11069294	11069431
chrX	19760622	19760753
chrX	8463164	8463306
chr3L	21004236	21004309
chrX	1977827	1977920
chr3R	4001932	4002005
chr3R	12528550	12528946
chr2R	16668021	16668093
chrUextra	6158178	6158360
chr2R	9841178	9841254
chr2L	431702	431793
chr3R	5253937	5254221
chrUextra	3080839	3080979
chr3R	14222696	14222779
chrU	10033728	10033954
chrUextra	9716208	9716298
chr3R	12106133	12106335
chr2L	18735898	18736024
chrUextra	28893931	28893998
chr2R	19866198	19866299
chr2L	21794698	21794841
chr2R	15156315	15156607
chr2R	14499229	14499295
chr3R	6715038	6715241
chr3L	8180042	8180136
chr2R	6454319	6454467
chr3R	15458492	15458584
chrX	3267084	3267183
chr3R	14565087	14565158
chrUextra	3537352	3537484
chr3R	5934117	5934236
chr3R	19140055	19140276
chr3L	5348391	5348548
chr3L	11241057	11241187
chr2R	6454109	6454197
chrUextra	22178799	22178883
chr2R	17771598	17771700
chr2R	4536903	4537124
chr2R	3378011	3378081
chr3R	4640127	4640199
chr3L	3400769	3400867
chr3R	7916365	7916478
chrUextra	24282305	24282383
chr3R	17121806	17121884
chrUextra	24026696	24026842
chr2R	6670344	6670432
chrX	19255273	19255374
chr2L	20121164	20121258
