	CD4_1	CD4_2	CD4_3	CD4_4	CD8_1	CD8_2	CD8_3
ENSMUSG00000030089	58	106	33	30	133	232	250
ENSMUSG00000030091	6510	9475	4302	5574	7212	5197	5428
ENSMUSG00000030092	0	0	0	0	0	0	0
ENSMUSG00000030093	0	0	0	0	0	0	0
ENSMUSG00000030094	903	1245	713	617	801	762	1130
ENSMUSG00000030095	1753	1924	1381	1477	1430	1518	1677
ENSMUSG00000030096	826	933	688	830	909	836	881
ENSMUSG00000030098	0	4	0	3	20	0	5
ENSMUSG00000030101	440	440	352	306	659	489	548
ENSMUSG00000030102	369	537	394	451	656	487	460
ENSMUSG00000030103	2792	1436	5346	4383	4643	5647	3933
ENSMUSG00000030104	2962	4203	2703	2556	3100	2767	3857
ENSMUSG00000030105	1037	1298	1843	1410	1093	1137	1232
ENSMUSG00000030107	935	1537	283	364	912	794	1558
ENSMUSG00000030108	0	0	0	9	1	2	1
ENSMUSG00000030109	0	0	0	0	0	0	0
ENSMUSG00000030110	23	30	10	1	0	9	0
ENSMUSG00000030111	0	0	0	0	0	0	0
ENSMUSG00000030114	381	112	203	228	193	292	127
ENSMUSG00000030116	0	0	0	0	3	0	0
ENSMUSG00000030117	0	0	0	0	0	0	0
ENSMUSG00000030120	1985	2589	1968	1972	2014	1944	2376
ENSMUSG00000030122	30	22	14	20	75	34	61
ENSMUSG00000030123	3	0	0	0	51	13	36
ENSMUSG00000030124	3	5	2	1	23	15	25
ENSMUSG00000030125	51	29	34	27	44	40	29
ENSMUSG00000030126	413	508	413	321	365	364	390
ENSMUSG00000030127	795	1148	526	528	599	661	932
ENSMUSG00000030131	0	0	0	0	0	0	0
ENSMUSG00000030134	19	19	16	15	38	32	61
ENSMUSG00000030137	22	9	0	18	0	2	3
ENSMUSG00000030138	1495	1954	1034	887	1158	1329	1704
ENSMUSG00000030142	8	32	0	13	14	1	0
ENSMUSG00000030143	0	0	0	0	0	0	0
ENSMUSG00000030144	0	0	0	0	0	0	0
ENSMUSG00000030145	27	26	0	2	2	27	48
ENSMUSG00000030147	0	0	0	0	0	0	0
ENSMUSG00000030148	2	5	4	0	0	3	1
ENSMUSG00000030149	576	758	490	245	56	149	168
ENSMUSG00000030154	48	13	23	36	8	50	62
ENSMUSG00000030155	0	0	0	0	0	0	0
ENSMUSG00000030156	22716	20664	16254	17532	13341	13337	15344
ENSMUSG00000030157	69	49	41	47	61	43	43
ENSMUSG00000030158	0	0	0	0	0	0	0
ENSMUSG00000030159	3	0	4	6	8	1	3
ENSMUSG00000030160	0	0	0	0	0	0	0
ENSMUSG00000030161	190	108	272	233	77	119	134
ENSMUSG00000030162	0	0	0	0	0	0	0
ENSMUSG00000030165	1908	2402	1554	1673	192	172	157
ENSMUSG00000030166	245	240	107	55	208	115	189
ENSMUSG00000030167	435	866	766	499	68	79	61
ENSMUSG00000030168	440	488	451	388	849	645	722
ENSMUSG00000030170	61	88	67	120	41	58	55
ENSMUSG00000030172	94	170	70	43	300	236	185
ENSMUSG00000030173	14	5	4	5	0	0	0
ENSMUSG00000030177	180	180	93	149	218	165	271
ENSMUSG00000030178	191	232	54	40	2	0	3
ENSMUSG00000030180	2256	2327	1606	2105	1881	2081	2584
ENSMUSG00000030187	1	2	0	0	1	0	1
ENSMUSG00000030188	64	84	53	67	48	33	54
ENSMUSG00000030189	76	76	55	70	42	38	46
ENSMUSG00000030194	0	0	0	0	0	0	0
ENSMUSG00000030196	0	0	0	0	0	0	0
ENSMUSG00000030199	334	380	391	431	511	446	503
ENSMUSG00000030200	30	0	0	5	22	25	18
ENSMUSG00000030201	213	280	327	251	373	404	420
ENSMUSG00000030203	30	12	82	141	36	19	4
ENSMUSG00000030204	2384	2685	1835	2326	2028	1786	2279
ENSMUSG00000030205	0	0	0	0	0	0	0
ENSMUSG00000030206	0	0	0	0	0	0	0
ENSMUSG00000030207	703	916	413	612	875	833	1092
ENSMUSG00000030208	163	38	339	149	124	330	112
ENSMUSG00000030209	0	0	0	0	0	0	2
ENSMUSG00000030213	2175	2304	1249	1430	2073	2007	1998
ENSMUSG00000030214	180	138	44	72	41	45	66
ENSMUSG00000030216	1524	1862	1589	1754	1573	1347	1696
ENSMUSG00000030217	217	198	175	198	33	40	76
ENSMUSG00000030218	0	0	0	1	0	0	0
ENSMUSG00000030219	28	14	18	39	12	14	21
ENSMUSG00000030220	35213	38988	34619	32998	34145	29234	32922
ENSMUSG00000030222	0	0	0	0	0	0	0
ENSMUSG00000030223	6	5	0	1	1	7	1
ENSMUSG00000030224	3078	3095	3277	3419	3141	2277	2613
ENSMUSG00000030225	831	950	853	729	1024	828	987
ENSMUSG00000030226	0	0	0	0	0	0	0
ENSMUSG00000030228	0	0	0	0	4	0	0
ENSMUSG00000030230	0	0	0	0	0	0	0
ENSMUSG00000030231	267	291	358	236	245	349	186
ENSMUSG00000030232	879	908	1195	1349	1545	1192	1285
ENSMUSG00000030235	0	0	1	0	1	0	0
ENSMUSG00000030236	0	0	0	0	0	0	0
ENSMUSG00000030237	0	0	0	0	4	1	0
ENSMUSG00000030243	889	1147	745	755	633	565	849
ENSMUSG00000030244	0	0	0	0	0	0	0
ENSMUSG00000030245	348	313	488	359	308	235	348
ENSMUSG00000030246	438	285	208	295	888	1024	1197
ENSMUSG00000030247	153	143	142	176	46	41	26
ENSMUSG00000030249	0	0	0	0	0	0	0
ENSMUSG00000030254	561	758	350	400	485	524	711
ENSMUSG00000030255	0	0	0	0	0	0	0
ENSMUSG00000030256	4	3	0	0	3	2	5
ENSMUSG00000030257	25	43	12	4	1	5	0
ENSMUSG00000030259	0	0	0	6	1	4	4
ENSMUSG00000030263	1868	2426	915	1003	1178	1319	1872
ENSMUSG00000030264	733	1222	550	459	837	689	1054
ENSMUSG00000030265	1140	997	1343	1134	1353	1283	1299
ENSMUSG00000030268	34	58	64	72	51	44	67
ENSMUSG00000030269	951	955	507	702	810	851	975
ENSMUSG00000030270	0	8	0	4	3	0	8
ENSMUSG00000030271	151	136	55	117	107	75	99
ENSMUSG00000030272	8	35	16	6	19	22	25
ENSMUSG00000030275	978	1254	881	665	1685	1230	1652
ENSMUSG00000030276	211	200	70	37	163	157	225
ENSMUSG00000030278	0	0	0	0	1	0	0
ENSMUSG00000030279	591	891	490	464	1031	994	1198
ENSMUSG00000030281	4	2	8	0	0	9	5
ENSMUSG00000030282	1582	1755	1842	1587	2017	1711	2270
ENSMUSG00000030283	411	463	512	633	711	607	625
ENSMUSG00000030284	95	59	49	51	105	104	125
ENSMUSG00000030286	1197	1486	1366	1260	1190	1177	1365
ENSMUSG00000030287	2178	2166	1509	2101	2267	2082	2359
ENSMUSG00000030291	487	637	640	562	520	402	534
ENSMUSG00000030292	0	0	0	0	0	0	0
ENSMUSG00000030298	1780	2641	1659	1506	1994	1643	2224
ENSMUSG00000030301	358	650	390	356	395	357	529
ENSMUSG00000030302	0	1	0	0	23	9	1
ENSMUSG00000030303	49	47	29	27	59	32	40
ENSMUSG00000030304	973	1092	820	858	973	847	1076
ENSMUSG00000030306	0	1	0	6	0	1	0
ENSMUSG00000030307	0	5	0	0	0	0	0
ENSMUSG00000030309	70	72	22	46	61	34	40
ENSMUSG00000030310	0	0	0	0	0	0	0
ENSMUSG00000030313	47	49	6	36	9	11	8
ENSMUSG00000030314	894	859	630	1099	710	727	753
ENSMUSG00000030315	3389	2314	4213	3584	2145	2490	2395
ENSMUSG00000030316	475	474	260	336	339	317	360
ENSMUSG00000030317	0	0	0	0	0	0	0
ENSMUSG00000030319	213	212	122	87	251	233	310
ENSMUSG00000030321	11	0	0	0	0	4	4
ENSMUSG00000030322	178	272	64	198	120	91	179
ENSMUSG00000030323	23	56	21	28	56	39	61
ENSMUSG00000030324	0	0	0	0	0	0	0
ENSMUSG00000030325	84	130	116	21	48	91	169
ENSMUSG00000030327	354	508	220	339	296	290	490
ENSMUSG00000030329	3	5	3	1	0	0	2
ENSMUSG00000030330	805	1285	602	742	973	836	1290
ENSMUSG00000030335	547	639	322	328	443	307	620
ENSMUSG00000030336	4349	5985	3133	3354	3899	3759	4990
ENSMUSG00000030337	120	228	58	73	252	260	293
ENSMUSG00000030339	0	14	6	8	0	1	10
ENSMUSG00000030340	0	6	0	0	8	0	0
ENSMUSG00000030341	712	747	779	651	1042	906	1000
ENSMUSG00000030342	476	630	489	463	1636	1446	1611
ENSMUSG00000030344	0	0	0	0	0	0	0
ENSMUSG00000030345	9	25	10	11	3	0	1
ENSMUSG00000030346	47	121	21	0	61	28	69
ENSMUSG00000030347	200	208	35	124	138	153	233
ENSMUSG00000030350	0	0	0	0	0	0	0
ENSMUSG00000030351	0	0	0	0	0	0	0
ENSMUSG00000030352	292	361	250	167	150	95	100
ENSMUSG00000030353	0	0	0	0	0	0	0
ENSMUSG00000030357	3804	4364	4658	4109	3206	2783	3379
ENSMUSG00000030359	0	0	0	0	0	0	0
ENSMUSG00000030361	7	12	0	0	0	5	9
ENSMUSG00000030363	0	0	0	0	0	0	0
ENSMUSG00000030364	0	0	0	0	2	0	0
ENSMUSG00000030365	590	861	373	321	493	409	682
ENSMUSG00000030366	0	0	0	0	0	0	0
ENSMUSG00000030368	0	0	0	0	0	0	0
ENSMUSG00000030373	0	0	0	0	0	0	0
ENSMUSG00000030374	2429	2750	1585	1740	2468	2412	2402
ENSMUSG00000030376	0	0	0	0	0	0	0
ENSMUSG00000030378	0	0	0	0	0	0	0
ENSMUSG00000030380	9	32	5	22	1	16	5
ENSMUSG00000030382	7	1	1	0	0	0	6
ENSMUSG00000030385	0	0	0	0	0	0	0
ENSMUSG00000030386	126	144	44	76	134	65	167
ENSMUSG00000030393	18	13	0	17	0	0	14
ENSMUSG00000030397	148	207	115	149	186	162	169
ENSMUSG00000030399	2	1	0	0	0	0	0
ENSMUSG00000030400	128	386	134	140	276	196	236
ENSMUSG00000030401	12	9	0	12	6	3	0
ENSMUSG00000030402	22	47	9	25	10	4	13
ENSMUSG00000030403	2698	3183	2286	2024	2461	1693	2106
ENSMUSG00000030406	0	0	5	0	0	0	0
ENSMUSG00000030407	216	237	89	150	202	322	331
ENSMUSG00000030409	0	5	0	0	0	0	10
ENSMUSG00000030410	0	6	0	0	6	6	1
ENSMUSG00000030411	0	0	0	0	0	0	0
ENSMUSG00000030413	720	933	487	627	414	363	379
ENSMUSG00000030417	935	810	986	1013	667	628	755
ENSMUSG00000030421	864	978	652	649	917	796	991
ENSMUSG00000030423	522	562	399	404	463	321	495
ENSMUSG00000030424	4	0	0	0	29	9	12
ENSMUSG00000030427	11	13	0	0	0	8	0
ENSMUSG00000030428	3	9	3	18	0	4	6
ENSMUSG00000030431	74	68	143	128	139	107	107
ENSMUSG00000030432	3190	2389	3174	2370	2763	1868	2590
ENSMUSG00000030433	11	0	4	25	0	12	9
ENSMUSG00000030435	1596	1913	1122	1207	1755	1316	1237
ENSMUSG00000030443	16	26	7	41	19	14	21
ENSMUSG00000030446	58	41	6	7	45	26	43
ENSMUSG00000030447	164	228	197	124	522	574	589
ENSMUSG00000030450	0	0	0	0	0	0	0
ENSMUSG00000030451	1025	1203	922	1299	1228	955	979
ENSMUSG00000030452	394	482	384	302	355	332	333
ENSMUSG00000030463	2	0	0	0	0	0	0
ENSMUSG00000030465	2	0	1	0	1	6	5
ENSMUSG00000030468	417	287	62	43	131	149	99
ENSMUSG00000030469	69	123	51	0	58	80	89
ENSMUSG00000030470	0	0	0	0	0	0	0
ENSMUSG00000030471	378	518	297	406	277	392	483
ENSMUSG00000030472	0	0	0	0	0	0	0
ENSMUSG00000030474	2	13	0	0	2	8	16
ENSMUSG00000030483	0	0	0	0	0	0	0
ENSMUSG00000030484	0	0	0	0	0	0	0
ENSMUSG00000030486	0	0	0	0	0	7	7
ENSMUSG00000030491	0	3	0	0	0	0	1
ENSMUSG00000030492	0	0	0	0	0	0	0
ENSMUSG00000030493	245	311	278	212	140	172	241
ENSMUSG00000030494	0	7	0	1	1	0	6
ENSMUSG00000030495	0	0	0	0	23	41	28
ENSMUSG00000030498	9	18	7	24	12	27	24
ENSMUSG00000030499	11	21	3	0	1	1	0
ENSMUSG00000030500	0	0	0	0	0	0	1
ENSMUSG00000030505	1191	1630	1107	1074	1017	1000	1150
ENSMUSG00000030507	5	3	6	2	0	9	0
ENSMUSG00000030509	58	41	50	58	57	66	65
ENSMUSG00000030510	0	8	0	0	0	0	0
ENSMUSG00000030512	1120	1246	1207	1219	1026	824	1159
ENSMUSG00000030513	0	0	0	0	0	0	0
ENSMUSG00000030515	121	76	39	99	82	105	146
ENSMUSG00000030516	0	0	0	0	3	1	0
ENSMUSG00000030518	0	0	0	0	0	0	0
ENSMUSG00000030519	0	0	0	0	0	0	0
ENSMUSG00000030521	837	851	688	523	611	502	739
ENSMUSG00000030522	239	257	260	95	269	213	208
ENSMUSG00000030523	219	186	119	131	57	50	65
ENSMUSG00000030525	0	0	0	0	0	0	0
ENSMUSG00000030527	647	599	485	551	860	761	765
ENSMUSG00000030528	53	122	61	73	72	68	61
ENSMUSG00000030530	294	287	257	290	460	481	306
ENSMUSG00000030532	38	46	19	45	52	23	48
ENSMUSG00000030533	2646	2635	1827	2154	3152	2621	2887
ENSMUSG00000030534	560	826	240	367	565	531	703
ENSMUSG00000030536	8249	9474	7349	7061	6937	6534	6844
ENSMUSG00000030538	1233	1551	726	851	1209	955	1114
ENSMUSG00000030539	233	385	118	236	327	259	302
ENSMUSG00000030541	1444	1829	1045	958	1617	1543	1937
ENSMUSG00000030543	0	0	0	0	7	0	3
ENSMUSG00000030544	0	0	0	0	0	0	0
ENSMUSG00000030545	14	9	0	0	57	27	24
ENSMUSG00000030546	0	0	0	0	0	0	0
ENSMUSG00000030549	0	0	0	0	0	0	0
ENSMUSG00000030551	0	0	0	0	0	0	0
ENSMUSG00000030553	2	2	3	3	0	3	1
ENSMUSG00000030554	0	0	0	0	0	0	0
ENSMUSG00000030555	26	0	0	0	8	4	8
ENSMUSG00000030556	451	347	555	372	428	409	484
ENSMUSG00000030557	1253	1397	1117	901	722	926	783
ENSMUSG00000030559	0	4	0	0	2	0	0
ENSMUSG00000030560	2428	3548	1851	2061	1551	1655	1910
ENSMUSG00000030562	0	0	0	0	0	0	0
ENSMUSG00000030577	1325	1429	177	522	468	441	357
ENSMUSG00000030579	137	144	67	47	59	33	99
ENSMUSG00000030583	165	169	94	92	173	148	169
ENSMUSG00000030584	0	0	0	0	0	0	0
ENSMUSG00000030587	30	31	9	20	15	14	22
ENSMUSG00000030588	815	913	652	544	671	635	682
ENSMUSG00000030589	19	11	8	5	21	20	39
ENSMUSG00000030590	947	948	403	464	1008	816	1132
ENSMUSG00000030591	3211	3682	2851	2773	3216	2768	3144
ENSMUSG00000030592	9	10	2	1	15	12	20
ENSMUSG00000030595	1415	1746	1394	1782	1365	1394	1511
ENSMUSG00000030598	127	147	113	56	357	277	514
ENSMUSG00000030600	0	4	0	0	16	31	37
ENSMUSG00000030602	141	167	128	141	166	125	201
ENSMUSG00000030603	2759	3092	2124	2399	2639	2320	2795
ENSMUSG00000030604	9	33	8	26	6	16	23
ENSMUSG00000030605	425	583	453	479	715	542	617
ENSMUSG00000030606	0	0	0	0	0	0	0
ENSMUSG00000030607	0	0	0	0	0	0	0
ENSMUSG00000030609	761	1101	540	556	751	473	910
ENSMUSG00000030610	384	621	275	349	512	289	445
ENSMUSG00000030611	395	466	315	324	327	358	327
ENSMUSG00000030612	628	721	968	777	657	600	768
ENSMUSG00000030613	168	210	197	255	195	142	219
ENSMUSG00000030614	78	245	47	62	198	85	204
ENSMUSG00000030615	517	548	338	482	552	422	460
ENSMUSG00000030616	558	680	241	358	614	640	552
ENSMUSG00000030617	0	0	0	0	0	0	0
ENSMUSG00000030619	1070	1176	1108	1315	1350	1199	1414
ENSMUSG00000030621	0	0	0	0	0	0	1
ENSMUSG00000030623	0	0	0	0	0	0	0
ENSMUSG00000030629	2410	2612	2334	2484	2391	2377	2847
ENSMUSG00000030630	50	48	31	37	123	54	76
ENSMUSG00000030636	0	0	0	0	0	0	0
ENSMUSG00000030638	0	0	3	0	43	29	65
ENSMUSG00000030641	72	48	222	113	159	96	59
ENSMUSG00000030643	56	52	54	55	59	41	16
ENSMUSG00000030647	807	772	772	634	801	525	653
ENSMUSG00000030649	520	536	450	492	369	323	427
ENSMUSG00000030650	0	0	0	0	0	0	0
ENSMUSG00000030651	1109	2075	607	951	1102	778	1433
ENSMUSG00000030652	207	213	127	238	262	151	155
ENSMUSG00000030653	101	0	0	0	0	89	104
ENSMUSG00000030654	5546	7635	5233	5293	6426	5366	7144
ENSMUSG00000030655	925	1251	652	811	854	657	810
ENSMUSG00000030657	54	32	84	84	223	176	150
ENSMUSG00000030659	78	150	97	105	78	60	73
ENSMUSG00000030660	298	382	239	242	294	301	300
ENSMUSG00000030662	1540	2217	1402	1364	1348	1226	1452
ENSMUSG00000030663	1530	1911	1924	1884	1766	1452	1902
ENSMUSG00000030664	0	0	0	0	0	0	0
ENSMUSG00000030666	0	1	1	0	0	0	0
ENSMUSG00000030669	0	0	0	0	0	1	1
ENSMUSG00000030670	11	35	0	2	11	17	25
ENSMUSG00000030671	892	995	1024	1265	1319	1393	1125
ENSMUSG00000030672	134	106	96	90	91	72	123
ENSMUSG00000030674	153	257	214	270	287	256	347
ENSMUSG00000030677	171	413	72	44	65	136	258
ENSMUSG00000030678	365	364	251	382	903	517	558
ENSMUSG00000030680	780	414	421	463	335	574	203
ENSMUSG00000030681	1176	1683	1067	1098	1483	1285	1854
ENSMUSG00000030682	3596	4498	2995	3447	4565	4366	5302
ENSMUSG00000030683	10	44	21	9	4	12	24
ENSMUSG00000030685	176	250	68	96	247	256	356
ENSMUSG00000030688	133	99	132	165	233	112	109
ENSMUSG00000030689	1256	1530	925	1133	952	933	1309
ENSMUSG00000030691	562	828	508	544	552	515	622
ENSMUSG00000030693	0	0	0	0	0	0	0
ENSMUSG00000030695	9271	11558	8572	9591	9971	8340	10644
ENSMUSG00000030697	5108	5494	4551	4538	5581	4975	5970
ENSMUSG00000030699	14	14	12	8	18	24	21
ENSMUSG00000030701	0	2	0	1	0	0	0
ENSMUSG00000030703	1	2	0	2	1	0	4
ENSMUSG00000030704	1073	1044	1276	962	1100	935	1219
ENSMUSG00000030706	553	634	398	422	436	374	486
ENSMUSG00000030707	55333	65610	43299	45930	54553	53155	58023
ENSMUSG00000030708	131	160	139	123	119	114	93
ENSMUSG00000030711	0	11	0	6	0	8	4
ENSMUSG00000030713	0	15	0	0	0	2	0
ENSMUSG00000030714	813	1002	531	694	777	542	827
ENSMUSG00000030717	1	0	0	1	0	0	1
ENSMUSG00000030718	299	504	352	324	345	326	353
ENSMUSG00000030720	673	588	172	217	518	662	756
ENSMUSG00000030722	62	154	68	64	106	54	90
ENSMUSG00000030724	1513	1091	275	454	739	556	291
ENSMUSG00000030725	42	33	63	35	32	37	52
ENSMUSG00000030726	677	1182	454	557	608	595	734
ENSMUSG00000030727	1119	1487	633	626	982	844	1335
ENSMUSG00000030729	169	112	116	117	112	119	119
ENSMUSG00000030730	0	6	3	0	18	7	5
ENSMUSG00000030731	13	0	0	6	0	11	6
ENSMUSG00000030732	0	0	0	0	0	0	0
ENSMUSG00000030733	1484	1581	1108	1123	1161	1294	1358
ENSMUSG00000030735	85	188	102	109	98	99	109
ENSMUSG00000030737	0	0	0	1	2	1	2
ENSMUSG00000030738	4868	5343	4024	3992	3647	3339	4453
ENSMUSG00000030739	0	0	0	0	0	0	0
ENSMUSG00000030741	868	966	268	463	899	792	1076
ENSMUSG00000030742	8225	8180	7406	7036	10574	8606	11309
ENSMUSG00000030744	29310	31143	28504	26828	23227	16456	19779
ENSMUSG00000030745	6896	7949	9493	10922	8950	7916	8080
ENSMUSG00000030747	14	34	51	80	53	67	36
ENSMUSG00000030748	8798	12512	14749	16362	15485	9957	11338
ENSMUSG00000030750	1380	1842	1075	1143	1401	1291	1869
ENSMUSG00000030751	2675	3512	2153	2497	2694	2404	2906
ENSMUSG00000030752	64	250	62	27	164	159	149
ENSMUSG00000030753	1247	1772	1375	1658	1622	1533	1712
ENSMUSG00000030754	2427	3044	2355	2161	2415	2489	3027
ENSMUSG00000030757	1	0	0	0	0	1	0
ENSMUSG00000030759	750	1070	606	727	528	485	671
ENSMUSG00000030760	152	194	131	123	122	75	109
ENSMUSG00000030761	108	219	70	90	77	23	28
ENSMUSG00000030762	0	0	0	0	0	0	0
ENSMUSG00000030763	280	367	262	231	321	216	334
ENSMUSG00000030766	988	1256	663	753	642	763	929
ENSMUSG00000030768	450	547	235	382	587	445	573
ENSMUSG00000030769	0	0	0	6	1	9	4
ENSMUSG00000030770	0	0	0	0	0	0	0
ENSMUSG00000030772	17	0	0	0	0	6	0
ENSMUSG00000030774	142	94	74	109	173	154	232
ENSMUSG00000030775	346	251	354	242	1689	1490	1920
ENSMUSG00000030779	1284	1248	1020	1189	1411	1121	1248
ENSMUSG00000030780	474	696	253	229	436	369	539
ENSMUSG00000030781	2	0	0	0	3	1	0
ENSMUSG00000030782	23	12	8	12	12	10	11
ENSMUSG00000030785	1	1	0	0	1	0	1
ENSMUSG00000030786	56	74	9	11	116	69	77
ENSMUSG00000030787	0	0	0	0	0	1	0
ENSMUSG00000030788	90	230	102	113	149	129	161
ENSMUSG00000030789	119	164	186	189	0	12	20
ENSMUSG00000030790	10	3	11	0	23	13	4
ENSMUSG00000030792	75	70	43	19	78	84	82
ENSMUSG00000030793	1902	2259	1361	1418	2239	1800	2383
ENSMUSG00000030795	1674	1590	1074	1198	2067	1457	1319
ENSMUSG00000030796	8	1	2	4	6	1	1
ENSMUSG00000030798	6048	6316	4186	4118	5873	5376	5963
ENSMUSG00000030800	0	0	0	0	0	0	0
ENSMUSG00000030801	483	1013	522	551	587	550	715
ENSMUSG00000030802	1378	1934	1024	1112	896	1127	1406
ENSMUSG00000030804	0	0	0	4	0	0	0
ENSMUSG00000030805	1175	1418	831	855	1171	965	1182
ENSMUSG00000030806	0	0	1	0	0	0	0
ENSMUSG00000030811	30	16	14	9	3	16	32
ENSMUSG00000030814	270	327	232	200	400	249	320
ENSMUSG00000030815	1071	1260	592	633	1009	999	1139
ENSMUSG00000030816	1655	2438	967	1268	1947	1798	2417
ENSMUSG00000030822	2101	2556	1552	1607	2177	2231	3048
ENSMUSG00000030823	114	124	79	64	51	129	102
ENSMUSG00000030824	3379	4691	3389	3369	3169	3492	3920
ENSMUSG00000030825	0	0	4	3	22	7	11
ENSMUSG00000030826	758	738	334	573	1210	921	1224
ENSMUSG00000030827	0	0	0	0	0	0	0
ENSMUSG00000030830	10487	14209	9693	9817	8811	9202	10257
ENSMUSG00000030834	0	0	0	0	0	0	0
ENSMUSG00000030835	1273	1445	959	991	1017	872	898
ENSMUSG00000030838	0	0	0	0	0	0	0
ENSMUSG00000030839	413	466	317	359	178	339	352
ENSMUSG00000030842	1226	1462	1129	1235	1326	1179	1459
ENSMUSG00000030844	1210	1108	1360	1163	1416	1208	1486
ENSMUSG00000030846	248	261	181	145	299	201	290
ENSMUSG00000030847	201	191	164	220	497	327	316
ENSMUSG00000030849	0	0	0	0	0	0	0
ENSMUSG00000030850	616	714	452	632	710	743	863
ENSMUSG00000030851	0	0	0	0	0	0	0
ENSMUSG00000030852	121	216	208	170	162	148	165
ENSMUSG00000030854	0	0	0	0	112	95	93
ENSMUSG00000030858	0	0	0	0	0	0	0
ENSMUSG00000030859	0	0	0	0	0	0	0
ENSMUSG00000030861	267	305	173	301	341	257	336
ENSMUSG00000030862	0	0	0	0	0	0	0
ENSMUSG00000030865	0	0	0	0	1	0	0
ENSMUSG00000030866	0	0	0	0	0	0	0
ENSMUSG00000030867	61	220	5	28	54	54	128
ENSMUSG00000030868	1063	1632	743	846	1009	952	1454
ENSMUSG00000030869	1086	1116	969	1015	1042	787	1160
ENSMUSG00000030870	753	1101	681	673	579	589	804
ENSMUSG00000030871	397	474	416	395	379	342	688
ENSMUSG00000030872	656	735	421	673	357	272	376
ENSMUSG00000030873	0	0	0	0	0	0	0
ENSMUSG00000030876	732	1034	829	854	782	596	846
ENSMUSG00000030877	1	10	3	0	0	1	7
ENSMUSG00000030878	173	229	105	215	159	188	222
ENSMUSG00000030879	741	912	578	856	730	621	736
ENSMUSG00000030880	645	1155	323	506	579	636	766
ENSMUSG00000030881	469	544	336	214	426	320	466
ENSMUSG00000030882	27	62	5	45	6	27	23
ENSMUSG00000030884	2822	3519	2289	2222	2551	2067	2753
ENSMUSG00000030887	1	0	6	0	2	1	2
ENSMUSG00000030888	664	954	573	731	538	528	754
ENSMUSG00000030889	0	0	0	0	0	0	1
ENSMUSG00000030890	3279	3916	2575	2414	3275	2805	3485
ENSMUSG00000030894	1580	1798	1095	1366	1758	1564	2046
ENSMUSG00000030895	0	0	0	0	1	0	0
ENSMUSG00000030897	0	0	0	0	0	0	0
ENSMUSG00000030898	0	0	0	0	0	0	0
ENSMUSG00000030905	0	0	0	0	0	0	0
ENSMUSG00000030909	0	0	0	0	0	0	0
ENSMUSG00000030911	0	0	0	0	0	1	0
ENSMUSG00000030917	16	42	4	35	28	32	30
ENSMUSG00000030921	1869	2614	888	1233	1751	1562	2172
ENSMUSG00000030922	92	112	83	104	87	83	130
ENSMUSG00000030924	179	341	187	116	250	183	342
ENSMUSG00000030929	143	183	100	112	115	106	187
ENSMUSG00000030930	274	559	266	383	208	153	204
ENSMUSG00000030934	1437	1628	1472	2016	1646	1481	1643
ENSMUSG00000030935	0	0	1	0	0	0	0
ENSMUSG00000030942	1955	2603	2102	2097	1942	1641	2064
ENSMUSG00000030945	0	0	0	0	0	0	0
ENSMUSG00000030946	109	65	77	98	86	78	103
ENSMUSG00000030954	0	0	0	0	0	0	0
ENSMUSG00000030956	1299	1400	1455	1379	1602	1576	1542
ENSMUSG00000030960	199	318	191	152	237	186	272
ENSMUSG00000030963	0	0	0	0	0	0	0
ENSMUSG00000030965	603	642	536	542	523	537	619
ENSMUSG00000030966	1250	1212	479	598	1124	1151	1663
ENSMUSG00000030967	265	142	217	267	288	448	338
ENSMUSG00000030968	0	0	0	0	0	0	0
ENSMUSG00000030970	9	4	2	23	2	2	5
ENSMUSG00000030972	0	0	0	0	0	0	0
ENSMUSG00000030976	0	0	0	0	0	0	0
ENSMUSG00000030978	919	2148	854	1078	1038	950	1316
ENSMUSG00000030979	628	640	426	421	872	623	842
ENSMUSG00000030980	284	215	141	138	265	194	230
ENSMUSG00000030981	0	0	0	0	0	0	0
ENSMUSG00000030982	1636	1814	1672	1631	1716	1611	1881
ENSMUSG00000030983	1586	1693	1343	1463	1506	1238	1570
ENSMUSG00000030986	901	1242	712	856	890	838	1087
ENSMUSG00000030987	1708	2164	1672	1724	2144	1496	1555
ENSMUSG00000030990	432	511	364	288	414	253	366
ENSMUSG00000030994	0	0	0	0	0	0	0
ENSMUSG00000030996	0	9	0	3	0	1	1
ENSMUSG00000031004	90	350	24	48	181	79	176
ENSMUSG00000031007	1775	1775	1792	1710	1878	1778	1967
ENSMUSG00000031010	844	951	771	978	1269	792	724
ENSMUSG00000031012	20	17	17	18	14	15	15
ENSMUSG00000031015	675	533	147	212	451	512	527
ENSMUSG00000031016	125	130	119	70	62	61	105
ENSMUSG00000031021	2629	2978	2889	2781	2714	2079	2806
ENSMUSG00000031022	0	2	0	1	0	1	0
ENSMUSG00000031023	403	481	260	280	258	253	365
ENSMUSG00000031024	1	0	0	18	2	2	6
ENSMUSG00000031026	0	0	2	0	0	0	1
ENSMUSG00000031027	0	0	0	0	0	0	0
ENSMUSG00000031028	0	0	0	1	0	3	3
ENSMUSG00000031029	4602	5190	4381	4416	4082	3392	3578
ENSMUSG00000031059	1878	1678	1975	1478	1789	1434	1693
ENSMUSG00000031060	1876	2444	1374	1383	1663	1590	2059
